departamento,municipio,vivienda_unifamiliar,vivienda_afectada,porcentaje_afectadas,porcentaje_afectadas_pct
Valle del Cauca,Argelia,1917.9892254723568,900.0,0.46924142641017735,46.92414264101774
Valle del Cauca,El Cairo,2331.043487078124,800.0,0.34319394058270875,34.31939405827087
Valle del Cauca,Toro,4463.865223948655,1200.0,0.2688253206127271,26.882532061272713
Valle del Cauca,La Victoria,4224.670262804296,1083.0,0.2563513677115039,25.635136771150393
Valle del Cauca,Bolívar,5025.308952190274,1200.0,0.2387912885389826,23.87912885389826
Valle del Cauca,Ulloa,1650.0022782643252,276.0,0.16727249630850852,16.727249630850853
Valle del Cauca,El Águila,2687.621160635918,400.0,0.14883049957284755,14.883049957284754
Valle del Cauca,El Dovio,3035.3397615587355,423.0,0.13935836948374344,13.935836948374345
Valle del Cauca,Alcalá,4566.851943330254,527.0,0.11539677802992218,11.539677802992218
Valle del Cauca,Riofrío,5284.436826763329,600.0,0.11354095425292363,11.354095425292362
Valle del Cauca,Versalles,2337.6877915543564,257.0,0.10993769182030833,10.993769182030832
Valle del Cauca,Roldanillo,11490.217207564188,1257.0,0.10939740975240202,10.939740975240202
Valle del Cauca,La Cumbre,5086.215076555735,514.0,0.10105746459075589,10.105746459075588
Valle del Cauca,Trujillo,5814.873800782531,536.0,0.0921774088937009,9.21774088937009
Valle del Cauca,Bugalagrande,7842.494050112719,597.0,0.07612374280238304,7.6123742802383045
Valle del Cauca,Caicedonia,9914.409662617789,735.0,0.07413451985661963,7.413451985661963
Valle del Cauca,Obando,4039.737121549167,270.0,0.06683603211697592,6.683603211697592
Valle del Cauca,Calima,5924.504824640363,350.0,0.05907666722530624,5.907666722530624
Valle del Cauca,Buenaventura,80855.6485553488,4745.0,0.0586848301235487,5.86848301235487
Valle del Cauca,Vijes,3778.3944788173676,196.0,0.051873884820345106,5.18738848203451
Valle del Cauca,Tuluá,70802.8158828095,3628.0,0.05124089988179208,5.124089988179208
Valle del Cauca,San Pedro,5275.577754128353,200.0,0.03791053972116929,3.791053972116929
Valle del Cauca,Andalucía,7671.956901889427,285.0,0.03714827959080571,3.714827959080571
Valle del Cauca,Sevilla,14276.395551264217,500.0,0.03502284580198001,3.5022845801980007
Valle del Cauca,Dagua,15377.135326160014,494.0,0.03212561959831317,3.212561959831317
Valle del Cauca,Yotoco,5421.752452605461,147.0,0.02711300474984949,2.711300474984949
Valle del Cauca,Jamundí,45448.1500015075,1171.0,0.025765625222614306,2.5765625222614306
Valle del Cauca,Restrepo,4678.697735346828,120.0,0.025648162541772854,2.5648162541772854
Valle del Cauca,La Unión,10851.256593766526,138.0,0.01271742113989579,1.271742113989579
Valle del Cauca,Cartago,43733.9194466396,300.0,0.006859664164471571,0.6859664164471571
Valle del Cauca,Candelaria,26775.439655136324,143.0,0.005340715291394603,0.5340715291394603
Valle del Cauca,Ansermanuevo,5967.692803735872,30.0,0.005027068414315749,0.502706841431575
Valle del Cauca,Guacarí,11001.860828561123,51.0,0.004635579452850616,0.4635579452850616
Valle del Cauca,Guadalajara de Buga,40430.59273787283,150.0,0.0037100618576756473,0.3710061857675647
Valle del Cauca,Ginebra,6678.633382692716,22.0,0.003294087089285617,0.32940870892856167
Valle del Cauca,Pradera,14030.556285643626,40.0,0.002850920461430947,0.2850920461430947
Valle del Cauca,El Cerrito,18904.153618959932,50.0,0.002644921375895532,0.2644921375895532
Valle del Cauca,Zarzal,14629.651072583894,10.0,0.000683543301913748,0.0683543301913748
Valle del Cauca,Palmira,114138.07706087518,64.0,0.0005607243581461934,0.05607243581461934
Valle del Cauca,Florida,18443.481841941168,2.0,0.0001084393943150108,0.01084393943150108
Valle del Cauca,Yumbo,34624.57800972527,1.0,2.888121841424673e-05,0.002888121841424673
